Fbtid,chromosome,start,end,name,length,fam_length,gapRate,seqID,divergence,family,gc
FBti0020116,3L,15078207,15079312,1360{}1005,1106,3409,67.79%,95.09%,0.001826,1360,36.2962962962963
FBti0020143,3L,17864351,17867118,1360{}1032,2768,3409,35.46%,77.30%,0.285209,1360,36.1099454469157
FBti0020155,3L,18826937,18828040,1360{}1044,1104,3409,67.93%,93.43%,0.000915,1360,35.1481958762887
FBti0020207,3L,22713619,22714198,1360{}1096,580,3409,82.99%,97.41%,0.00240989,1360,44.9185415050427
FBti0020224,3L,23054675,23055778,1360{}1113,1104,3409,67.93%,93.34%,0.007388,1360,38.5557704706641
FBti0020225,3L,23058450,23059520,1360{}1114,1071,3409,68.89%,93.41%,0,1360,37.9478827361564
FBti0020229,3L,23076768,23077755,1360{}1118,988,3409,71.24%,93.28%,0.017421,1360,37.2489959839357
FBti0020230,3L,23082420,23083622,1360{}1119,1203,3409,65.15%,92.95%,0.031066,1360,35.1655215490319
FBti0020240,3L,23128441,23129566,1360{}1129,1126,3409,67.59%,89.55%,0.060708,1360,35.3486884197057
FBti0020243,3L,23134542,23135647,1360{}1132,1106,3409,67.79%,93.73%,0.003946,1360,38.8280746941404
FBti0020244,3L,23139649,23140684,1360{}1133,1036,3409,70.18%,89.32%,0.044732,1360,33.3662714097497
FBti0020249,3L,23403559,23404781,1360{}1138,1223,3409,65.62%,92.57%,0.024033,1360,43.2919254658385
FBti0019634,X,12664947,12665593,1360{}115,647,3409,81.06%,90.71%,0.008563,1360,38.2842025699169
FBti0020271,3L,23337199,23337883,1360{}1160,685,3409,80.05%,88.99%,0.049166,1360,41.5797317436662
FBti0020273,3L,23309691,23310481,1360{}1162,791,3409,77.16%,87.45%,0.041509,1360,39.9928263988522
FBti0020282,3L,23235016,23236138,1360{}1171,1123,3409,67.37%,94.08%,0.017543,1360,39.1095451633568
FBti0020291,3L,23172239,23174767,1360{}1180,2529,3409,78.57%,92.37%,0.034187,1360,37.2128975265018
FBti0020301,3R,364656,365855,1360{}1198,1200,3409,65.39%,93.00%,0.011346,1360,38.7933729290403
FBti0019290,3R,391097,391354,1360{}1201,258,3409,92.43%,94.96%,0.0170438,1360,33.761630482942
FBti0020305,3R,435327,436430,1360{}1206,1104,3409,67.93%,92.97%,0.003068,1360,37.898807605543
FBti0019309,3R,1648157,1649263,1360{}1226,1107,3409,67.88%,93.26%,0.001828,1360,40.1481004507405
FBti0020322,3R,3675422,3676528,1360{}1257,1107,3409,67.84%,93.27%,0.006432,1360,38.1841596909208
FBti0019330,3R,3799093,3800094,1360{}1258,1002,3409,70.83%,93.17%,0,1360,38.7537487504165
FBti0020323,3R,4720650,4721745,1360{}1270,1096,3409,68.08%,94.31%,0.008865,1360,34.248788368336
FBti0019361,3R,8296795,8297901,1360{}1299,1107,3409,67.88%,93.08%,0.003662,1360,39.7295556986478
FBti0019637,X,15167794,15168900,1360{}136,1107,3409,67.76%,92.82%,0.011054,1360,39.407598197038
FBti0019418,3R,19341310,19342411,1360{}1408,1102,3409,68.29%,94.11%,0.003012,1360,40.2965828497743
FBti0019460,3R,26064541,26065644,1360{}1457,1104,3409,67.93%,93.16%,0,1360,38.7886597938144
FBti0020393,3R,26644590,26646094,1360{}1463,1505,3409,56.06%,95.73%,0.004728,1360,39.8687214611872
FBti0020400,4,4364,13761,1360{}1476,9398,3409,68.47%,79.15%,0.249949,1360,47.4861805738352
FBti0020403,4,45760,46860,1360{}1479,1101,3409,67.86%,92.53%,0.00347,1360,36.2903225806452
FBti0020404,4,54450,55919,1360{}1480,1470,3409,57.51%,94.91%,0.011993,1360,30.9599308157971
FBti0019484,4,315271,316354,1360{}1498,1084,3409,68.39%,93.79%,0.002908,1360,31.495296788842
FBti0020415,4,327211,328362,1360{}1503,1152,3409,68.45%,93.69%,0.009466,1360,32.0533164074897
FBti0019485,4,338845,339919,1360{}1504,1075,3409,69.92%,89.30%,0.046079,1360,34.1574495770982
FBti0020418,4,388051,388539,1360{}1507,489,3409,85.79%,95.46%,0.042918,1360,35.3295819935691
FBti0020419,4,394692,395372,1360{}1508,681,3409,80.62%,91.87%,0.056447,1360,32.4253731343284
FBti0020422,4,474692,475771,1360{}1514,1080,3409,68.51%,92.84%,0.013867,1360,32.5430334524196
FBti0020423,4,477383,478488,1360{}1515,1106,3409,67.67%,93.74%,0.001988,1360,36.7793880837359
FBti0020432,4,802751,803182,1360{}1530,432,3409,88.38%,89.25%,0.077294,1360,34.0189222542164
FBti0020434,4,809565,817418,1360{}1533,7854,3409,57.48%,95.00%,0.042176,1360,39.3788693798843
FBti0019500,4,878370,879480,1360{}1536,1111,3409,68.34%,93.74%,0.009962,1360,36.6881028938907
FBti0019502,4,928543,929618,1360{}1539,1076,3409,68.63%,93.74%,0.008782,1360,38.7967479674797
